103681
TIME ASOL ATMRAD SOLDIF
0.00000000 0.00000000 34.64259389 0.00000000
0.01041667 0.00000000 34.64259389 0.00000000
0.02083333 0.00000000 34.48799462 0.00000000
0.03125000 0.00000000 34.32279735 0.00000000
0.04166667 0.00000000 34.15135941 0.00000000
0.05208333 0.00000000 33.97588248 0.00000000
0.06250000 0.00000000 33.79770685 0.00000000
0.07291667 0.00000000 33.61773317 0.00000000
0.08333333 0.00000000 33.43660546 0.00000000
0.09375000 0.00000000 33.25480442 0.00000000
0.10416667 0.00000000 33.07270008 0.00000000
0.11458333 0.00000000 32.89058402 0.00000000
0.12500000 0.00000000 32.70869014 0.00000000
0.13541667 0.00000000 32.52720864 0.00000000
0.14583333 0.00000000 32.34629590 0.00000000
0.15625000 0.00000000 32.16608157 0.00000000
0.16666667 0.00000000 31.98667383 0.00000000
0.17708333 0.00000000 31.80816339 0.00000000
0.18750000 0.00000000 31.63062654 0.00000000
0.19791667 0.00000000 31.45412760 0.00000000
0.20833333 0.00000000 31.27872084 0.00000000
0.21875000 0.00000000 31.10445199 0.00000000
0.22916667 0.00000000 30.93135952 0.00000000
0.23958333 0.00000000 30.75947570 0.00000000
0.25000000 0.00000000 30.58882739 0.00000000
0.26041667 0.43300330 30.43101971 14.10791231
0.27083333 8.45648121 30.30340976 27.69266048
0.28125000 26.22326625 30.20236162 37.73503725
0.29166667 49.78040820 30.12508592 45.37406688
0.30208333 76.43695219 30.07075188 51.52312476
0.31250000 104.64872772 30.03952211 56.70052046
0.32291667 133.47876711 30.03197665 61.20074144
0.33333333 162.31089113 30.04881387 65.19770375
0.34375000 190.70818595 30.09068676 68.79802354
0.35416667 218.34053064 30.15810888 72.06898502
0.36458333 244.94559602 30.25140003 75.05389431
0.37500000 270.30685854 30.37065637 77.78091188
0.38541667 294.24070531 30.51573641 80.26835755
0.39583333 316.58862260 30.68625726 82.52802206
0.40625000 337.21234217 30.88159735 84.56730553
0.41666667 355.99076785 31.10090322 86.39064012
0.42708333 372.81800427 31.34309846 88.00046115
0.43750000 387.60208365 31.60689388 89.39788461
0.44791667 400.26414232 31.89079828 90.58318814
0.45833333 410.73789033 32.19312946 91.55615666
0.46875000 418.96927335 32.51202562 92.31633209
0.47916667 424.91626069 32.84545716 92.86319285
0.48958333 428.54871594 33.19123909 93.19627998
0.50000000 429.84832169 33.54704433 93.31528101
0.51041667 428.80854049 33.91041816 93.22007844
0.52083333 425.43460212 34.27879399 92.91076652
0.53125000 419.74351371 34.64951058 92.38763784
0.54166667 411.76409551 35.01983086 91.65113852
0.55208333 401.53705144 35.38696238 90.70178859
0.56250000 389.11509121 35.74807925 89.54006093
0.57291667 374.56313134 36.10034553 88.16620850
0.58333333 357.95861647 36.44093979 86.58002342
0.59375000 339.39202415 36.76708048 84.78050372
0.60416667 318.96764932 37.07605183 82.76538984
0.61458333 296.80481736 37.36522955 80.53051301
0.62500000 273.03976146 37.63210583 78.06886308
0.63541667 247.82854652 37.87431267 75.36922666
0.64583333 221.35167877 38.08964245 72.41414608
0.65625000 193.82150658 38.27606408 69.17677006
0.66666667 165.49439907 38.43173230 65.61582836
0.67708333 136.69142888 38.55498636 61.66730281
0.68750000 107.83488726 38.64433109 57.23002110
0.69791667 79.51576892 38.69838787 52.13955277
0.70833333 52.62484915 38.71579051 46.11870703
0.71875000 28.61746360 38.69497405 38.68144408
0.72916667 10.02384640 38.63375444 28.96664329
0.73958333 0.76739405 38.52862824 15.79049506
0.75000000 0.00000000 38.37540103 0.77213665
0.76041667 0.00000000 38.18870901 0.00000000
0.77083333 0.00000000 37.99374746 0.00000000
0.78125000 0.00000000 37.79334426 0.00000000
0.79166667 0.00000000 37.58903782 0.00000000
0.80208333 0.00000000 37.38189707 0.00000000
0.81250000 0.00000000 37.17271763 0.00000000
0.82291667 0.00000000 36.96211634 0.00000000
0.83333333 0.00000000 36.75058467 0.00000000
0.84375000 0.00000000 36.53852197 0.00000000
0.85416667 0.00000000 36.32625757 0.00000000
0.86458333 0.00000000 36.11406612 0.00000000
0.87500000 0.00000000 35.90217869 0.00000000
0.88541667 0.00000000 35.69079103 0.00000000
0.89583333 0.00000000 35.48006988 0.00000000
0.90625000 0.00000000 35.27015780 0.00000000
0.91666667 0.00000000 35.06117712 0.00000000
0.92708333 0.00000000 34.85323297 0.00000000
0.93750000 0.00000000 34.64641584 0.00000000
0.94791667 0.00000000 34.44080360 0.00000000
0.95833333 0.00000000 34.23646328 0.00000000
0.96875000 0.00000000 34.03345245 0.00000000
0.97916667 0.00000000 33.83182046 0.00000000
0.98958333 0.00000000 33.63160944 0.00000000
1.00000000 0.00000000 33.43285518 0.00000000
1.01041667 0.00000000 31.99127413 0.00000000
1.02083333 0.00000000 31.77352216 0.00000000
1.03125000 0.00000000 31.56323925 0.00000000
1.04166667 0.00000000 31.35869153 0.00000000
1.05208333 0.00000000 31.15890197 0.00000000
1.06250000 0.00000000 30.96322831 0.00000000
1.07291667 0.00000000 30.77121245 0.00000000
1.08333333 0.00000000 30.58251011 0.00000000
1.09375000 0.00000000 30.39685275 0.00000000
1.10416667 0.00000000 30.21402495 0.00000000
1.11458333 0.00000000 30.03384997 0.00000000
1.12500000 0.00000000 29.85618014 0.00000000
1.13541667 0.00000000 29.68089013 0.00000000
1.14583333 0.00000000 29.50787218 0.00000000
1.15625000 0.00000000 29.33703249 0.00000000
1.16666667 0.00000000 29.16828859 0.00000000
1.17708333 0.00000000 29.00156726 0.00000000
1.18750000 0.00000000 28.83680297 0.00000000
1.19791667 0.00000000 28.67393657 0.00000000
1.20833333 0.00000000 28.51291433 0.00000000
1.21875000 0.00000000 28.35368711 0.00000000
1.22916667 0.00000000 28.19620966 0.00000000
1.23958333 0.00000000 28.04044015 0.00000000
1.25000000 0.00000000 27.88633966 0.00000000
1.26041667 0.43804714 27.74459801 14.06896643
1.27083333 8.49099378 27.63111143 27.59204308
1.28125000 26.26713115 27.54227975 37.57478217
1.29166667 49.80493722 27.47537386 45.16390150
1.30208333 76.42127376 27.42956848 51.27133130
1.31250000 104.57920463 27.40502189 56.41329209
1.32291667 133.34688464 27.40232041 60.88271493
1.33333333 162.11168411 27.42218495 64.85245875
1.34375000 190.43921082 27.46530708 68.42843046
1.35416667 218.00119923 27.53225329 71.67743530
1.36458333 244.53673397 27.62340859 74.64245276
1.37500000 269.83040294 27.73894518 77.35141869
1.38541667 293.69948998 27.87880739 79.82249785
1.39583333 315.98621986 28.04270732 82.06737390
1.40625000 336.55294154 28.23012730 84.09337338
1.41666667 355.27907947 28.44032651 85.90487847
1.42708333 372.05917917 28.67234975 87.50429114
1.43750000 386.80164552 28.92503748 88.89270568
1.44791667 399.42792733 29.19703621 90.07038614
1.45833333 409.87199256 29.48680913 91.03710938
1.46875000 418.07999418 29.79264689 91.79241285
1.47916667 424.01006092 30.11267861 92.33577271
1.48958333 427.63216972 30.44488347 92.66672907
1.50000000 428.92807172 30.78710293 92.78496914
1.51041667 427.89125388 31.13705408 92.69037534
1.52083333 424.52692645 31.49234408 92.38304197
1.53125000 418.85203295 31.85048610 91.86326192
1.54166667 410.89528530 32.20891668 91.13148215
1.55208333 400.69723319 32.56501472 90.18822474
1.56250000 388.31038449 32.91612193 89.03396674
1.57291667 373.79940359 33.25956466 87.66896869
1.58333333 357.24142893 33.59267700 86.09303559
1.59375000 338.72657246 33.91282468 84.30518608
1.60416667 318.35869630 34.21742958 82.30319247
1.61458333 296.25661478 34.50399416 80.08293381
1.62500000 272.55595567 34.77012533 77.63747049
1.63541667 247.41206041 35.01355682 74.95569183
1.64583333 221.00455841 35.23216905 72.02028904
1.65625000 193.54471408 35.42400486 68.80462632
1.66666667 165.28752202 35.58727887 65.26774666
1.67708333 136.55225771 35.72037671 61.34609071
1.68750000 107.75877964 35.82183767 56.93916482
1.69791667 79.49467065 35.89030864 51.88354978
1.70833333 52.64578999 35.92444554 45.90354879
1.71875000 28.66047791 35.92271245 38.51516684
1.72916667 10.06090456 35.88298031 28.85897918
1.73958333 0.77514018 35.80185243 15.74545415
1.75000000 0.00000000 35.67523350 0.77017458
1.76041667 0.00000000 35.51681727 0.00000000
1.77083333 0.00000000 35.35033048 0.00000000
1.78125000 0.00000000 35.17841729 0.00000000
1.79166667 0.00000000 35.00251923 0.00000000
1.80208333 0.00000000 34.82364033 0.00000000
1.81250000 0.00000000 34.64252979 0.00000000
1.82291667 0.00000000 34.45976997 0.00000000
1.83333333 0.00000000 34.27582626 0.00000000
1.84375000 0.00000000 34.09107802 0.00000000
1.85416667 0.00000000 33.90583918 0.00000000
1.86458333 0.00000000 33.72037257 0.00000000
1.87500000 0.00000000 33.53490030 0.00000000
1.88541667 0.00000000 33.34961137 0.00000000
1.89583333 0.00000000 33.16466763 0.00000000
1.90625000 0.00000000 32.98020829 0.00000000
1.91666667 0.00000000 32.79635352 0.00000000
1.92708333 0.00000000 32.61320737 0.00000000
1.93750000 0.00000000 32.43086010 0.00000000
1.94791667 0.00000000 32.24939010 0.00000000
1.95833333 0.00000000 32.06886552 0.00000000
1.96875000 0.00000000 31.88934555 0.00000000
1.97916667 0.00000000 31.71088162 0.00000000
1.98958333 0.00000000 31.53351829 0.00000000
2.00000000 0.00000000 31.35729414 0.00000000
2.01041667 0.00000000 30.58362951 0.00000000
2.02083333 0.00000000 30.45226813 0.00000000
2.03125000 0.00000000 30.31468058 0.00000000
2.04166667 0.00000000 30.17339947 0.00000000
2.05208333 0.00000000 30.02973042 0.00000000
2.06250000 0.00000000 29.88448066 0.00000000
2.07291667 0.00000000 29.73819977 0.00000000
2.08333333 0.00000000 29.59128532 0.00000000
2.09375000 0.00000000 29.44403717 0.00000000
2.10416667 0.00000000 29.29668845 0.00000000
2.11458333 0.00000000 29.14942458 0.00000000
2.12500000 0.00000000 29.00239561 0.00000000
2.13541667 0.00000000 28.85572463 0.00000000
2.14583333 0.00000000 28.70951371 0.00000000
2.15625000 0.00000000 28.56384817 0.00000000
2.16666667 0.00000000 28.41879982 0.00000000
2.17708333 0.00000000 28.27442937 0.00000000
2.18750000 0.00000000 28.13078835 0.00000000
2.19791667 0.00000000 27.98792058 0.00000000
2.20833333 0.00000000 27.84586338 0.00000000
2.21875000 0.00000000 27.70464853 0.00000000
2.22916667 0.00000000 27.56430305 0.00000000
2.23958333 0.00000000 27.42484987 0.00000000
2.25000000 0.00000000 27.28630834 0.00000000
2.26041667 0.43087165 27.15923173 14.02224235
2.27083333 8.40973171 27.05936548 27.52236739
2.28125000 26.07322275 26.98333228 37.50094510
2.29166667 49.49084839 26.92854922 45.09100172
2.30208333 75.98804118 26.89425598 51.20046708
2.31250000 104.03025681 26.88063012 56.34445593
2.32291667 132.68642795 26.88825397 60.81561054
2.33333333 161.34427039 26.91783454 64.78674629
2.34375000 189.56963255 26.97004803 68.36379996
2.35416667 217.03447657 27.04544902 71.61362481
2.36458333 243.47812374 27.14441693 74.57924841
2.37500000 268.68540827 27.26712592 77.28864940
2.38541667 292.47386498 27.41352993 79.76002887
2.39583333 314.68596808 27.58335785 82.00510083
2.40625000 335.18430891 27.77611516 84.03121697
2.41666667 353.84854253 27.99108948 85.84278022
2.42708333 370.57342931 28.22735843 87.44220961
2.43750000 385.26757018 28.48379861 88.83061344
2.44791667 397.85258853 28.75909528 90.00826715
2.45833333 408.26260345 29.05175222 90.97495669
2.46875000 416.44389392 29.36010195 91.73022668
2.47916667 422.35468826 29.68231626 92.27355868
2.48958333 425.96503570 30.01641735 92.60449653
2.50000000 427.25673164 30.36028982 92.72272971
2.51041667 426.22327888 30.71169359 92.62814143
2.52083333 422.86987500 31.06827821 92.32082537
2.53125000 417.21342240 31.42759849 91.80107230
