Name,mass,PTOTAL,BT_Min,BT_Max,BT_Avg,Geom_Alb
Mercury,3.30E+23,0,100,700,449,0.106
Venus,4.87E+24,9.30E+09,328,328,328,0.65
Earth,5.97E+24,1.01E+05,279,299,289,0.367
Mars,6.42E+23,546,160,280,220,0.15
Jupiter,1.90E+27,-999,127,127,127,0.52
Saturn,5.68E+26,-999,85,85,85,0.47
Uranus,8.68E+25,-999,64,64,64,0.51
Neptune,1.02E+26,-999,51,51,51,0.41
Pluto,1.46E+22,1,33,55,44,0.3
Moon,7.30E+22,0,-999,-999,-999,-999
Phobos,1.07E+16,0,-999,-999,-999,-999
Deimos,1.50E+15,0,-999,-999,-999,-999
Io,8.93E+22,0,-999,-999,-999,-999
Europa,4.80E+22,0,-999,-999,-999,-999
Ganymede,1.48E+23,0,-999,-999,-999,-999
Callisto,1.08E+23,0,-999,-999,-999,-999
Enceladus,1.10E+20,0,-999,-999,-999,-999
Titan,1.35E+23,1.50E+05,-999,-999,-999,-999
Iapetus,1.80E+21,0,-999,-999,-999,-999
Miranda,6.29E+19,0,-999,-999,-999,-999
Ariel,1.23E+21,0,-999,-999,-999,-999
Umbriel,1.29E+21,0,-999,-999,-999,-999
Titania,3.46E+21,0,-999,-999,-999,-999
Oberon,3.11E+21,0,-999,-999,-999,-999
Triton,2.14E+22,0,-999,-999,-999,-999
Charon,1.59E+21,0,-999,-999,-999,-999
